ubigeo_gestor,archivo_rel,n_filas
211301,Intersecciones\excels\PUNO-YUNGUYO-YUNGUYO.xlsx,13
220101,Intersecciones\excels\SAN_MARTIN-MOYOBAMBA-MOYOBAMBA.xlsx,31
220801,Intersecciones\excels\SAN_MARTIN-RIOJA-RIOJA.xlsx,38
220803,Intersecciones\excels\SAN_MARTIN-RIOJA-ELIAS_SOPLIN_VARGAS.xlsx,13
220804,Intersecciones\excels\SAN_MARTIN-RIOJA-NUEVA_CAJAMARCA.xlsx,39
220901,Intersecciones\excels\SAN_MARTIN-SAN_MARTIN-TARAPOTO.xlsx,9
220909,Intersecciones\excels\SAN_MARTIN-SAN_MARTIN-LA_BANDA_DE_SHILCAYO.xlsx,11
220910,Intersecciones\excels\SAN_MARTIN-SAN_MARTIN-MORALES.xlsx,14
230101,Intersecciones\excels\TACNA-TACNA-TACNA.xlsx,22
230102,Intersecciones\excels\TACNA-TACNA-ALTO_DE_LA_ALIANZA.xlsx,11
230104,Intersecciones\excels\TACNA-TACNA-CIUDAD_NUEVA.xlsx,25
230110,Intersecciones\excels\TACNA-TACNA-CORONEL_GREGORIO_ALBARRACIN_LANCHIPA.xlsx,9
240101,Intersecciones\excels\TUMBES-TUMBES-TUMBES.xlsx,16
240302,Intersecciones\excels\TUMBES-ZARUMILLA-AGUAS_VERDES.xlsx,45
250101,Intersecciones\excels\UCAYALI-CORONEL_PORTILLO-CALLERIA.xlsx,11
250105,Intersecciones\excels\UCAYALI-CORONEL_PORTILLO-YARINACOCHA.xlsx,9
250107,Intersecciones\excels\UCAYALI-CORONEL_PORTILLO-MANANTAY.xlsx,44
